,Pan,Label,MSW05_Order,MSW05_Genus,MSW05_Species,AnnualBP,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X8.1_AdultForearmLen_mm,X13.1_AdultHeadBodyLen_mm,X2.1_AgeatEyeOpening_d,X3.1_AgeatFirstBirth_d,X18.1_BasalMetRate_mLO2hr,X5.2_BasalMetRateMass_g,X6.1_DietBreadth,X9.1_GestationLen_d,X12.1_HabitatBreadth,X14.1_InterbirthInterval_d,X15.1_LitterSize,X16.1_LittersPerYear,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X13.2_NeonateHeadBodyLen_mm,X21.1_PopulationDensity_n.km2,X10.1_PopulationGrpSize,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X12.2_Terrestriality,X6.2_TrophicLevel,X25.1_WeaningAge_d,X5.4_WeaningBodyMass_g,X13.3_WeaningHeadBodyLen_mm,X5.5_AdultBodyMass_g_EXT,X5.6_NeonateBodyMass_g_EXT,X26.1_GR_Area_km2,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.1_HuPopDen_Min_n.km2,X27.2_HuPopDen_Mean_n.km2,X27.3_HuPopDen_5p_n.km2,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,Log10.mass_specific_production.,WOS_HITS.x,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,ForStrat.Value,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,BodyMass.Value,torp,mig,IUCN,WOS_HITS.y,aridity,BodySizeRatio,postnatGR,RelAgeSexMat,sppdens,spp.dens.per.km,Craseonycteridae,Emballonuridae,Furipteridae,Hipposideridae,Megadermatidae,Molossidae,Mormoopidae,Mystacinidae,Myzopodidae,Natalidae,Noctilionidae,Nycteridae,Phyllostomidae,Pteropodidae,Rhinolophidae,Rhinopomatidae,Thyropteridae,Vespertilionidae
21,Hipposideros_cineraceus,0,Chiroptera,Hipposideros,cineraceus,NA,NA,3.84,34.92,NA,NA,NA,NA,NA,1,NA,1,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,14.4896206,32.47,-7.01,12.73,122,70.81,96.41,1,5.122713198,9,0.09,167.22,228.29,1146.79,1481.11,NA,5,100,0,0,0,0,0,0,0,0,0,A,1,0,0,4.72,NA,NA,NA,1.791759469,0.11290181,NA,NA,NA,684,255.8508515,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Hipposideros_commersoni,0,Chiroptera,Hipposideros,commersoni,NA,1,89.99,95.99,127.5,NA,882.08,NA,NA,1,150.34,1,NA,0.99,1,NA,3.33220451,NA,NA,2.995732274,742.46,NA,2,3,151.03,NA,NA,NA,NA,16.68907132,17.49,-26.57,-4.54,50.48,-16.82,16.82,0,3.481547734,1,0.13,91.07,241.05,913.23,1553.76,NA,15,100,0,0,0,0,0,0,0,0,0,A,1,0,0,99.09,NA,NA,NA,2.772588722,0.058612656,27.00614555,NA,NA,199,70.69889354,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Hipposideros_diadema,0,Chiroptera,Hipposideros,diadema,NA,NA,46.9,88.69,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,14.98891638,18.65,-18.9,-0.12,161.39,93.45,127.42,0,4.79032107,2,0.12,221.44,243.75,1532.13,1714.7,NA,8,100,0,0,0,0,0,0,0,0,0,A,1,0,0,43.76,NA,NA,NA,2.197224577,0.129142124,NA,NA,NA,1077,397.8117002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Hipposideros_larvatus,0,Chiroptera,Hipposideros,larvatus,NA,NA,19.95,59.99,NA,NA,NA,NA,NA,1,NA,1,NA,0.98,NA,NA,1.32175584,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,15.14671777,27.47,-10.37,8.55,127.3,87.94,107.62,1,5.186771092,9,0.09,176.61,229.17,1257.98,1511.2,NA,14,100,0,0,0,0,0,0,0,0,0,A,1,0,0,19.85,NA,NA,NA,2.708050201,0.11686739,15.09355919,NA,NA,638,234.7500879,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Hipposideros_pomona,1,Chiroptera,Hipposideros,pomona,1,NA,6.2,40.5,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,15.19773539,28.82,4.16,16.49,121.79,75.45,98.62,1,5.337874562,9,0.08,141.93,213.41,1046.44,1402.51,NA,9,100,0,0,0,0,0,0,0,0,0,A,1,0,0,6.2,NA,NA,NA,2.302585093,0.101197139,NA,NA,NA,620,227.845144,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Lissonycteris_angolensis,0,Chiroptera,Lissonycteris,angolensis,NA,NA,68.31,73.08,105.16,NA,NA,NA,NA,2,121.66,1,NA,0.99,2,NA,NA,NA,NA,3.33220451,NA,1,2,1,NA,NA,NA,NA,NA,15.2022233,12.96,-21.07,-4.05,40.37,-15.6,12.38,0,4.040767961,2,0.13,124.24,240.3,1120.33,1546.07,NA,3,0,0,0,0,0,0,60,40,0,0,Ar,1,0,0,68.31,NA,NA,NA,1.386294361,0.080358587,NA,NA,NA,847,311.2320959,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,Macroglossus_minimus,0,Chiroptera,Macroglossus,minimus,NA,NA,16.3,40.23,68.09,NA,212.91,22.32,16.35,2,125.14,1,NA,0.99,3,NA,1.337629189,26.28,NA,1.098612289,NA,1,2,1,65,NA,NA,NA,NA,14.9243881,18.65,-21.21,-1.28,162.39,95.18,128.79,0,4.672922288,0,0.12,194.34,248.02,1397.33,1726.13,NA,9,0,0,0,0,0,0,20,80,0,0,Ar,1,0,0,16.37,NA,NA,NA,2.302585093,0.112587117,12.18573887,NA,NA,1088,402.5162206,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,Miniopterus_australis,0,Chiroptera,Miniopterus,australis,NA,NA,7.4,40.5,NA,NA,NA,NA,NA,1,132.74,1,NA,0.99,1,NA,NA,NA,NA,8.496990484,413.84,NA,2,3,NA,NA,NA,NA,NA,14.23188368,18.65,-32.12,-6.73,169.9,-176.21,-3.15,0,4.785239208,0,0.12,206.96,228.09,1402.71,1661.07,NA,9,100,0,0,0,0,0,0,0,0,0,A,1,0,0,6.15,NA,NA,NA,2.302585093,0.124594388,NA,NA,NA,895,337.0382717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,Miniopterus_pusillus,1,Chiroptera,Miniopterus,pusillus,NA,NA,8.95,41.99,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,11.90326089,28.19,-10.37,8.91,130.87,74.83,102.85,5,5.69957363,17,0.08,154.37,233.56,1247.21,1605.38,NA,8,100,0,0,0,0,0,0,0,0,0,A,1,0,0,8.61,NA,NA,NA,2.197224577,0.096157919,NA,NA,NA,671,270.9127278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,Miniopterus_tristis,0,Chiroptera,Miniopterus,tristis,NA,NA,15.17,51,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,13.35815894,18.65,-10.28,4.18,150.05,118.75,134.4,1,4.905867196,5,0.1,240.58,224.65,1618.07,1746.05,NA,2,100,0,0,0,0,0,0,0,0,0,A,1,0,0,15.75,NA,NA,NA,1.098612289,0.137785287,NA,NA,NA,514,198.2927263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
